Marca_Modelo,Precio,Km,Transmision,Combustible,URL,Anio,Marca,Modelo
Volkswagen Touareg 2007,12000,165000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volkswagen-touareg-2007-1859563,2007,Volkswagen,Touareg
Jaguar Xj 2017,37500,67000,Automática,Gasolina,https://neoauto.com/auto/usado/jaguar-xj-2017-1858979,2017,Jaguar,Xj
Mazda Cx-5 2024,31000,17300,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mazda-cx-5-2024-1860823,2024,Mazda,Cx-5
Nissan X-Trail E-Power 2024,35900,6500,Automática,Gasolina,https://neoauto.com/auto/usado/nissan-x-trail-e-power-2024-1863221,2024,Nissan,X-Trail E-Power
Bmw X3 20i 2015,17900,77345,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x3-20i-2015-1856405,2015,Bmw,X3 20i
Jeep Grand Cherokee Laredo 2019,28900,60400,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-laredo-2019-1863547,2019,Jeep,Grand Cherokee Laredo
Mazda Cx-5 2025,27800,6500,Automática,Gasolina,https://neoauto.com/auto/usado/mazda-cx-5-2025-1861302,2025,Mazda,Cx-5
Mercedes Benz Glb 200 2022,45000,18000,Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-glb-200-2022-1860553,2022,Mercedes,Benz Glb 200
Jeep Compass 2023,22700,39000,Automática,Gasolina,https://neoauto.com/auto/usado/jeep-compass-2023-1863431,2023,Jeep,Compass
Peugeot 2008 2023,17990,28000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/peugeot-2008-2023-1842917,2023,Peugeot,2008
Kia Rio 2013,10500,90600,Automática,Gasolina,https://neoauto.com/auto/usado/kia-rio-2013-1862738,2013,Kia,Rio
Volkswagen Tiguan 2013,11000,125100,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-2013-1856319,2013,Volkswagen,Tiguan
Nissan Qashqai 2021,19000,97000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/nissan-qashqai-2021-1857775,2021,Nissan,Qashqai
Bmw X5 30d 2017,29900,100557,Automática,Diesel,https://neoauto.com/auto/usado/bmw-x5-30d-2017-1861168,2017,Bmw,X5 30d
Mini John Cooper Works 2025,46000,3800,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mini-john-cooper-works-2025-1856098,2025,Mini,John Cooper Works
Volkswagen Tiguan Allspace 2020,22500,44500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2020-1863994,2020,Volkswagen,Tiguan Allspace
Honda Cr-V 2022,28900,25000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/honda-cr-v-2022-1862008,2022,Honda,Cr-V
Bmw 540i 2018,37000,25000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-540i-2018-1863754,2018,Bmw,540i
Bmw X3 30i 2018,29900,92,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x3-30i-2018-1817188,2018,Bmw,X3 30i
Bmw X6 30d 2018,41500,75900,Automática - Secuencial,Diesel,https://neoauto.com/auto/usado/bmw-x6-30d-2018-1859949,2018,Bmw,X6 30d
Nissan Pathfinder 2012,15900,210000,Automática - Secuencial,Diesel,https://neoauto.com/auto/usado/nissan-pathfinder-2012-1837759,2012,Nissan,Pathfinder
Bmw X3 20i 2017,18500,100000,Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x3-20i-2017-1857560,2017,Bmw,X3 20i
Bmw X3 20i 2024,51000,7000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x3-20i-2024-1844803,2024,Bmw,X3 20i
Chevrolet All New Captiva 2021,18000,37000,Automática - Secuencial,Dual,https://neoauto.com/auto/usado/chevrolet-all-new-captiva-2021-1863154,2021,Chevrolet,All New Captiva
Mercedes Benz Gle 63 S Amg 4matic Coupe 2017,64500,69962,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-gle-63-s-amg-4matic-coupe-2017-1862963,2017,Mercedes,Benz Gle 63 S Amg 4matic Coupe
Bmw 520-I 2018,23500,48000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-520-i-2018-1863406,2018,Bmw,520-I
Bmw X5 35i 2014,20500,60500,Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x5-35i-2014-1725746,2014,Bmw,X5 35i
Porsche Macan 2025,79900,8000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/porsche-macan-2025-1862229,2025,Porsche,Macan
Mercedes Benz Gle 400 4matic 2017,33900,65600,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-gle-400-4matic-2017-1860973,2017,Mercedes,Benz Gle 400 4matic
Ford F-150 2012,21990,155000,Automática,Gasolina,https://neoauto.com/auto/usado/ford-f-150-2012-1838508,2012,Ford,F-150
Bmw X1 18i 2021,25990,50000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x1-18i-2021-1856876,2021,Bmw,X1 18i
Bmw X5 35i 2016,27500,56000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x5-35i-2016-1858386,2016,Bmw,X5 35i
Mercedes Benz A-180 2017,15900,58344,Mecánica,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-a-180-2017-1792651,2017,Mercedes,Benz A-180
Honda Odyssey 2012,10800,166500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/honda-odyssey-2012-1863885,2012,Honda,Odyssey
Dodge Durango 2018,30000,30050,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/dodge-durango-2018-1862509,2018,Dodge,Durango
Bmw 218i Gran Coupe 2022,26000,40000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-218i-gran-coupe-2022-1862666,2022,Bmw,218i Gran Coupe
Ford Territory 2025,22999,2800,Automática,Gasolina,https://neoauto.com/auto/usado/ford-territory-2025-1863803,2025,Ford,Territory
Volkswagen Jetta 2020,16800,68000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volkswagen-jetta-2020-1851916,2020,Volkswagen,Jetta
Mercedes Benz Gle 400 4matic 2018,50000,50000,Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-gle-400-4matic-2018-1858736,2018,Mercedes,Benz Gle 400 4matic
Bmw X4 20i 2025,55000,17500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x4-20i-2025-1856559,2025,Bmw,X4 20i
Suzuki Swift 2022,13100,2000,Mecánica,Gasolina,https://neoauto.com/auto/usado/suzuki-swift-2022-1861875,2022,Suzuki,Swift
Volkswagen Crossfox 2020,12900,48000,Mecánica,Gasolina,https://neoauto.com/auto/usado/volkswagen-crossfox-2020-1863211,2020,Volkswagen,Crossfox
Ford Bronco 2024,72900,4000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/ford-bronco-2024-1861294,2024,Ford,Bronco
Jeep Grand Cherokee Laredo 2018,24900,48500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-laredo-2018-1857457,2018,Jeep,Grand Cherokee Laredo
Toyota Yaris 2024,16950,23900,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/toyota-yaris-2024-1863290,2024,Toyota,Yaris
Bmw 335i 2010,18900,1,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-335i-2010-1863273,2010,Bmw,335i
Kia Sonet 2024,16800,32000,Mecánica,Gasolina,https://neoauto.com/auto/usado/kia-sonet-2024-1862196,2024,Kia,Sonet
Mercedes Benz Ml 350 2013,21800,60000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-ml-350-2013-1850053,2013,Mercedes,Benz Ml 350
Kia Sportage 2018,16499,94300,Mecánica,Gasolina,https://neoauto.com/auto/usado/kia-sportage-2018-1856014,2018,Kia,Sportage
Dodge Durango 2021,38250,18000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/dodge-durango-2021-1863034,2021,Dodge,Durango
Bmw X5 40i 2022,66500,18800,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x5-40i-2022-1807518,2022,Bmw,X5 40i
Volkswagen Gol 2021,11900,59000,Mecánica,Gasolina,https://neoauto.com/auto/usado/volkswagen-gol-2021-1860204,2021,Volkswagen,Gol
Bmw X5 M 2015,25000,74000,Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x5-m-2015-1856792,2015,Bmw,X5 M
Mazda Cx-5 2025,32000,21300,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mazda-cx-5-2025-1855873,2025,Mazda,Cx-5
Volkswagen T-Cross 2021,19900,29000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volkswagen-t-cross-2021-1859129,2021,Volkswagen,T-Cross
Porsche Macan 2024,68000,26000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/porsche-macan-2024-1859965,2024,Porsche,Macan
Audi Tt 2010,22000,89500,Mecánica,Gasolina,https://neoauto.com/auto/usado/audi-tt-2010-1863613,2010,Audi,Tt
Jeep Grand Cherokee Srt 2021,40000,63000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-srt-2021-1862387,2021,Jeep,Grand Cherokee Srt
Toyota Hiace 2015,17500,172576,Mecánica,Diesel,https://neoauto.com/auto/usado/toyota-hiace-2015-1823681,2015,Toyota,Hiace
Hyundai I30 2016,14000,90000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/hyundai-i30-2016-1863369,2016,Hyundai,I30
Volvo S60 2017,14900,102000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volvo-s60-2017-1644797,2017,Volvo,S60
Subaru All New Forester 2017,16300,112000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/subaru-all-new-forester-2017-1857686,2017,Subaru,All New Forester
Aston Martin Rapide 2013,73900,8900,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/aston-martin-rapide-2013-1861524,2013,Aston,Martin Rapide
Bmw X5 35i 2018,38500,75000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x5-35i-2018-1854568,2018,Bmw,X5 35i
Mg Zx Plus 2023,15500,35000,Automática - Secuencial,Dual,https://neoauto.com/auto/usado/mg-zx-plus-2023-1856853,2023,Mg,Zx Plus
Mercedes Benz Ml 320 2001,7200,279000,Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-ml-320-2001-1858211,2001,Mercedes,Benz Ml 320
Hyundai Venue 2024,17350,15500,Mecánica,Gas GLP,https://neoauto.com/auto/usado/hyundai-venue-2024-1855675,2024,Hyundai,Venue
Bmw X1 18i 2024,45000,13000,Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x1-18i-2024-1863486,2024,Bmw,X1 18i
Bmw 120i 2013,15500,121000,Automática,Gasolina,https://neoauto.com/auto/usado/bmw-120i-2013-1848627,2013,Bmw,120i
Jeep Liberty 2003,6000,224067,Automática,Gas GNV,https://neoauto.com/auto/usado/jeep-liberty-2003-1861167,2003,Jeep,Liberty
Chevrolet Captiva 2021,14000,121842,Mecánica,Dual,https://neoauto.com/auto/usado/chevrolet-captiva-2021-1861794,2021,Chevrolet,Captiva
Toyota Corolla Cross 2025,29500,19800,Automática,Gasolina,https://neoauto.com/auto/usado/toyota-corolla-cross-2025-1859860,2025,Toyota,Corolla Cross
Subaru Xv 2018,14500,149000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/subaru-xv-2018-1860424,2018,Subaru,Xv
Peugeot 207 2010,5500,160000,Mecánica,Dual,https://neoauto.com/auto/usado/peugeot-207-2010-1856366,2010,Peugeot,207
Ford Escape Se 2013,15400,51000,Automática,Gasolina,https://neoauto.com/auto/usado/ford-escape-se-2013-1856747,2013,Ford,Escape Se
Renault Oroch 2023,13500,70000,Mecánica,Gasolina,https://neoauto.com/auto/usado/renault-oroch-2023-1854921,2023,Renault,Oroch
Bmw 120i 2018,19000,29900,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-120i-2018-1857273,2018,Bmw,120i
Honda Cr-V 2019,23000,62000,Automática,Gasolina,https://neoauto.com/auto/usado/honda-cr-v-2019-1862510,2019,Honda,Cr-V
Volkswagen Tiguan Allspace 2019,17100,68000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2019-1857341,2019,Volkswagen,Tiguan Allspace
Bmw X3 20i 2019,31000,42419,Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x3-20i-2019-1859227,2019,Bmw,X3 20i
Honda Pilot 2017,22900,60000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/honda-pilot-2017-1857568,2017,Honda,Pilot
Ram V700 2019,5800,105000,Mecánica,Dual,https://neoauto.com/auto/usado/ram-v700-2019-1835638,2019,Ram,V700
Jeep Grand Cherokee Overland 2016,22500,120000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-overland-2016-1864032,2016,Jeep,Grand Cherokee Overland
Suzuki Jimny 2023,20000,21000,Automática,Gasolina,https://neoauto.com/auto/usado/suzuki-jimny-2023-1854869,2023,Suzuki,Jimny
Mazda Cx-30 2024,20900,20000,Automática,Gasolina,https://neoauto.com/auto/usado/mazda-cx-30-2024-1856241,2024,Mazda,Cx-30
Mercedes Benz Gle 63 S Amg 4matic Coupe 2024,154000,10000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-gle-63-s-amg-4matic-coupe-2024-1859973,2024,Mercedes,Benz Gle 63 S Amg 4matic Coupe
Volkswagen Jetta 2019,13000,55000,Mecánica,Gasolina,https://neoauto.com/auto/usado/volkswagen-jetta-2019-1862444,2019,Volkswagen,Jetta
Suzuki Grand Vitara 2025,19000,50000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/suzuki-grand-vitara-2025-1855585,2025,Suzuki,Grand Vitara
Citroen Berlingo 2024,15000,30000,Mecánica,Diesel,https://neoauto.com/auto/usado/citroen-berlingo-2024-1856795,2024,Citroen,Berlingo
Audi Q3 2023,33900,29000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-q3-2023-1858053,2023,Audi,Q3
Volkswagen Tiguan Allspace 2020,22900,53600,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2020-1857116,2020,Volkswagen,Tiguan Allspace
Mazda Cx-5 2020,20000,73000,Mecánica,Gasolina,https://neoauto.com/auto/usado/mazda-cx-5-2020-1861546,2020,Mazda,Cx-5
Jeep Cherokee Longitude 2016,16500,42663,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/jeep-cherokee-longitude-2016-1851741,2016,Jeep,Cherokee Longitude
Volkswagen T-Cross 2020,18000,35000,Automática,Gasolina,https://neoauto.com/auto/usado/volkswagen-t-cross-2020-1861264,2020,Volkswagen,T-Cross
Mercedes Benz C-180 Kompressor 2009,10000,90000,Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-c-180-kompressor-2009-1862549,2009,Mercedes,Benz C-180 Kompressor
Audi A3 1.8tfsi Turbo Cabriolet 2014,15000,72000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-a3-1-8tfsi-turbo-cabriolet-2014-1856710,2014,Audi,A3 1.8tfsi Turbo Cabriolet
Jeep Grand Cherokee Laredo 2010,9500,120000,Automática,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-laredo-2010-1859890,2010,Jeep,Grand Cherokee Laredo
Volvo S60 2014,11500,54000,Automática,Gasolina,https://neoauto.com/auto/usado/volvo-s60-2014-1849857,2014,Volvo,S60
Jac Js6 2015,5000,0,Automática,Dual,https://neoauto.com/auto/usado/jac-js6-2015-1860139,2015,Jac,Js6
Dodge Journey 2018,16000,72500,Automática,Gasolina,https://neoauto.com/auto/usado/dodge-journey-2018-1808067,2018,Dodge,Journey
Volvo S60 2013,12000,52000,Automática,Gasolina,https://neoauto.com/auto/usado/volvo-s60-2013-1862625,2013,Volvo,S60
Suzuki Sx-4 2008,6350,236000,Mecánica,Gasolina,https://neoauto.com/auto/usado/suzuki-sx-4-2008-1856601,2008,Suzuki,Sx-4
Volvo Xc-40 2020,33500,21000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volvo-xc-40-2020-1779953,2020,Volvo,Xc-40
Hyundai Creta Grand 2018,16500,36000,Automática,Gasolina,https://neoauto.com/auto/usado/hyundai-creta-grand-2018-1859074,2018,Hyundai,Creta Grand
Land Rover Range Rover P530 Autobiography 2020,84900,18000,Automática,Gasolina,https://neoauto.com/auto/usado/land-rover-range-rover-p530-autobiography-2020-1861320,2020,Land,Rover Range Rover P530 Autobiography
Toyota Rav4 2023,30000,56900,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/toyota-rav4-2023-1863400,2023,Toyota,Rav4
Volkswagen Tiguan Allspace 2022,23500,47000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2022-1858027,2022,Volkswagen,Tiguan Allspace
Chery New Tiggo 7 2024,15800,17924,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/chery-new-tiggo-7-2024-1843109,2024,Chery,New Tiggo 7
Jeep Wrangler Unlimited Sahara 2007,23900,52000,Mecánica,Dual,https://neoauto.com/auto/usado/jeep-wrangler-unlimited-sahara-2007-1846505,2007,Jeep,Wrangler Unlimited Sahara
Dfsk Glory 500 2023,12000,30000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/dfsk-glory-500-2023-1860530,2023,Dfsk,Glory 500
Audi A3 Hb 2021,19800,44000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-a3-hb-2021-1861573,2021,Audi,A3 Hb
Mazda Cx-5 2022,21500,86500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mazda-cx-5-2022-1856838,2022,Mazda,Cx-5
Subaru Impreza Sport 2014,10500,95000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/subaru-impreza-sport-2014-913413,2014,Subaru,Impreza Sport
Honda Cr-V 2023,34700,40000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/honda-cr-v-2023-1864022,2023,Honda,Cr-V
Bmw M 140i 2019,34900,33000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-m-140i-2019-1831763,2019,Bmw,M 140i
Toyota Tacoma 2025,125000,0,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/toyota-tacoma-2025-1861830,2025,Toyota,Tacoma
Mercedes Benz B180 2012,13800,69100,Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-b180-2012-1848854,2012,Mercedes,Benz B180
Subaru Xv 2011,8900,90000,Automática,Gasolina,https://neoauto.com/auto/usado/subaru-xv-2011-1860632,2011,Subaru,Xv
Mercedes Benz A200 2014,17000,51000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-a200-2014-1859657,2014,Mercedes,Benz A200
Toyota Rav4 2014,14500,131000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/toyota-rav4-2014-1857833,2014,Toyota,Rav4
Toyota 4runner 2023,49900,87000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/toyota-4runner-2023-1861850,2023,Toyota,4runner
Jeep Renegade 2022,21000,26500,Automática,Gasolina,https://neoauto.com/auto/usado/jeep-renegade-2022-1862686,2022,Jeep,Renegade
Mg Zx 2025,13000,16250,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mg-zx-2025-1863020,2025,Mg,Zx
Toyota Camry 2008,8171,175000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/toyota-camry-2008-1853545,2008,Toyota,Camry
Audi Q5 2014,15900,126100,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-q5-2014-1848552,2014,Audi,Q5
Honda Cr-V 2015,15600,121000,Automática,Gasolina,https://neoauto.com/auto/usado/honda-cr-v-2015-1855818,2015,Honda,Cr-V
Audi Q5 2016,19000,71000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-q5-2016-1860681,2016,Audi,Q5
Ford Territory 2021,20500,50000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/ford-territory-2021-1846881,2021,Ford,Territory
Subaru Xv 2022,22000,28100,Automática,Gasolina,https://neoauto.com/auto/usado/subaru-xv-2022-1857315,2022,Subaru,Xv
Ford Territory 2023,22000,35000,Automática,Gasolina,https://neoauto.com/auto/usado/ford-territory-2023-1861346,2023,Ford,Territory
Keyton Fj6450 2022,13000,800,Automática,Eléctrico,https://neoauto.com/auto/usado/keyton-fj6450-2022-1855889,2022,Keyton,Fj6450
Audi A4 E 1.8t Multitronic 2015,14250,52700,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-a4-e-1-8t-multitronic-2015-1857857,2015,Audi,A4 E 1.8t Multitronic
Nissan Qashqai 2016,14700,43000,Mecánica,Gasolina,https://neoauto.com/auto/usado/nissan-qashqai-2016-1857399,2016,Nissan,Qashqai
Subaru Impreza Sport 2019,17800,53400,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/subaru-impreza-sport-2019-1846403,2019,Subaru,Impreza Sport
Honda Civic 2011,9990,78000,Automática,Gasolina,https://neoauto.com/auto/usado/honda-civic-2011-1856192,2011,Honda,Civic
Mazda Cx-30 2022,18500,45000,Mecánica,Gasolina,https://neoauto.com/auto/usado/mazda-cx-30-2022-1860953,2022,Mazda,Cx-30
Renault Fluence 2018,11200,59000,Automática,Gasolina,https://neoauto.com/auto/usado/renault-fluence-2018-1860525,2018,Renault,Fluence
Mercedes Benz Gle 400 4matic 2017,34000,51219,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-gle-400-4matic-2017-1851627,2017,Mercedes,Benz Gle 400 4matic
Honda Cr-V 2021,26500,50350,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/honda-cr-v-2021-1863319,2021,Honda,Cr-V
Kia Sportage 2017,17400,87772,Automática,Dual,https://neoauto.com/auto/usado/kia-sportage-2017-1862336,2017,Kia,Sportage
Nissan Qashqai 2015,12300,200350,Mecánica,Gas GNV,https://neoauto.com/auto/usado/nissan-qashqai-2015-1854911,2015,Nissan,Qashqai
Chevrolet Tahoe 2021,59990,59000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/chevrolet-tahoe-2021-1862303,2021,Chevrolet,Tahoe
Bmw X1 2018,20000,70500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x1-2018-1859928,2018,Bmw,X1
Porsche Cayenne S 2016,33600,67473,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/porsche-cayenne-s-2016-1861965,2016,Porsche,Cayenne S
Audi Q2 2019,25000,53000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-q2-2019-1863173,2019,Audi,Q2
Jeep Compass 2020,18500,54500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/jeep-compass-2020-1859753,2020,Jeep,Compass
Mazda 3 2026,24800,40,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mazda-3-2026-1861845,2026,Mazda,3
Bmw 120i 2016,17900,59944,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-120i-2016-1860383,2016,Bmw,120i
Jeep Grand Cherokee Limited 2016,18900,63000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-limited-2016-1861415,2016,Jeep,Grand Cherokee Limited
Volvo Xc-60 2020,31600,82000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volvo-xc-60-2020-1851671,2020,Volvo,Xc-60
Nissan Pathfinder 2005,7500,350000,Automática,Gas GLP,https://neoauto.com/auto/usado/nissan-pathfinder-2005-1775246,2005,Nissan,Pathfinder
Volkswagen Amarok 2021,31000,66500,Automática - Secuencial,Diesel,https://neoauto.com/auto/usado/volkswagen-amarok-2021-1863968,2021,Volkswagen,Amarok
Mercedes Benz Gl 400 2015,27500,95500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-gl-400-2015-1858176,2015,Mercedes,Benz Gl 400
Mazda All New Mazda 3 2024,18800,10150,Mecánica,Gasolina,https://neoauto.com/auto/usado/mazda-all-new-mazda-3-2024-1821216,2024,Mazda,All New Mazda 3
Jeep Compass 2024,29000,16500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/jeep-compass-2024-1832152,2024,Jeep,Compass
Chevrolet Groove 2024,14500,19352,Mecánica,Dual,https://neoauto.com/auto/usado/chevrolet-groove-2024-1862725,2024,Chevrolet,Groove
Jac T8 2025,20500,27500,Automática,Diesel,https://neoauto.com/auto/usado/jac-t8-2025-1863376,2025,Jac,T8
Volvo Xc-40 2024,44990,8600,Automática,Eléctrico,https://neoauto.com/auto/usado/volvo-xc-40-2024-1850544,2024,Volvo,Xc-40
Renault Master 2020,25500,78000,Mecánica,Diesel,https://neoauto.com/auto/usado/renault-master-2020-1838505,2020,Renault,Master
Bmw X3 2020,36000,24500,Automática - Secuencial,Gas,https://neoauto.com/auto/usado/bmw-x3-2020-1855865,2020,Bmw,X3
Volkswagen Tiguan Allspace 2019,17500,64000,Automática,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2019-1859428,2019,Volkswagen,Tiguan Allspace
Audi Q5 2012,13500,110000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-q5-2012-1858825,2012,Audi,Q5
Chevrolet Tracker 2023,15900,32000,Mecánica,Gasolina,https://neoauto.com/auto/usado/chevrolet-tracker-2023-1848376,2023,Chevrolet,Tracker
Audi S6 2016,33500,58500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-s6-2016-1855922,2016,Audi,S6
Chery New Tiggo 7 2024,15500,56500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/chery-new-tiggo-7-2024-1863340,2024,Chery,New Tiggo 7
Toyota Corolla Cross 2023,22500,61000,Automática,Gasolina,https://neoauto.com/auto/usado/toyota-corolla-cross-2023-1863152,2023,Toyota,Corolla Cross
Toyota Yaris 2014,12500,75146,Mecánica,Gasolina,https://neoauto.com/auto/usado/toyota-yaris-2014-1861721,2014,Toyota,Yaris
Toyota Fortuner 2018,31000,60000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/toyota-fortuner-2018-1856733,2018,Toyota,Fortuner
Audi A3 Sedan 2017,16700,45500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-a3-sedan-2017-1862817,2017,Audi,A3 Sedan
Mazda Bt-50 2023,22850,70000,Mecánica,Diesel,https://neoauto.com/auto/usado/mazda-bt-50-2023-1860919,2023,Mazda,Bt-50
Dfsk Glory 560 2022,14000,37900,Mecánica,Gasolina,https://neoauto.com/auto/usado/dfsk-glory-560-2022-1861365,2022,Dfsk,Glory 560
Nissan Tiida 2012,8900,54000,Mecánica,Gasolina,https://neoauto.com/auto/usado/nissan-tiida-2012-1816197,2012,Nissan,Tiida
Peugeot 3008 2018,19000,55611,Automática,Gasolina,https://neoauto.com/auto/usado/peugeot-3008-2018-1862761,2018,Peugeot,3008
Kia Sorento 2013,13900,120000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/kia-sorento-2013-1859248,2013,Kia,Sorento
Suzuki Jimny 2017,12000,132803,Mecánica,Gasolina,https://neoauto.com/auto/usado/suzuki-jimny-2017-1861792,2017,Suzuki,Jimny
